videoid,beeid,colony,sched,caff,flowerid,timin,timeout,totaltime,totaltimeint,notes
B58_B3_60523_1159_FR30_1,B58,B3,FR30,No,B4,10:25,10:39,0:14:00,14,B58_FR30_1159
B28_B3_60623_142_FR30_1,B28,B3,FR30,No,C2,3:01,4:29,1:28:00,88,B28_FR30_142*
B28_B3_60623_142_FR30_1,B28,B3,FR30,No,C2,4:36,5:02,0:26:00,26,B28_FR30_142
B28_B3_60623_142_FR30_1,B28,B3,FR30,No,C2,5:14,5:34,0:20:00,20,B28_FR30_142
B28_B3_60623_142_FR30_1,B28,B3,FR30,No,A4,7:20,,,0,B28_FR30_142 lightbar blocking view
B28_B3_60623_142_FR30_1,B28,B3,FR30,No,A4,9:29,9:58,0:29:00,29,B28_FR30_142
B28_B3_60623_142_FR30_1,B28,B3,FR30,No,A3,10:39,10:49,0:10:00,10,B28_FR30_142
B28_B3_60623_142_FR30_1,B28,B3,FR30,No,A3,10:56,11:04,0:08:00,8,B28_FR30_142
B28_B3_60623_142_FR30_1,B28,B3,FR30,No,B2,5:49,6:06,0:17:00,17,B28_FR30_142
B28_B3_60623_142_FR30_1,B28,B3,FR30,No,C3,8:07,8:20,0:13:00,13,B28_FR30_142
B28_B3_60623_142_FR30_1,B28,B3,FR30,No,C3,8:24,8:35,0:11:00,11,B28_FR30_142
B28_B3_60623_142_FR30_1,B28,B3,FR30,No,C3,8:39,8:51,0:12:00,12,B28_FR30_142
B28_B3_60623_142_FR30_1,B28,B3,FR30,No,A1,11:31,11:35,0:04:00,4,B28_FR30_142
B28_B3_60623_142_FR30_1,B28,B3,FR30,No,A2,6:44,6:56,0:12:00,12,B28_FR30_142
B28_B3_60623_142_FR30_1,B28,B3,FR30,No,A2,11:20,11:23,0:03:00,3,B28_FR30_142
B28_B3_60623_142_FR30_1,B28,B3,FR30,No,B4,9:05,9:10,0:05:00,5,B28_FR30_142
B68_B3_60623_340_FR30_1,B68,B3,FR30,No,B2,9:20,9:24,0:20:00,20,B68_FR30_340*
B68_B3_60623_340_FR30_1,B68,B3,FR30,No,C2,2:27,4:05,1:38:00,98,B68_FR30_340
B68_B3_60623_340_FR30_1,B68,B3,FR30,No,C2,4:10,4:29,0:19:00,19,B68_FR30_340
B68_B3_60623_340_FR30_1,B68,B3,FR30,No,C2,4:34,4:55,0:21:00,21,B68_FR30_340
B68_B3_60623_340_FR30_1,B68,B3,FR30,No,C2,5:01,5:19,0:18:00,18,B68_FR30_340
B68_B3_60623_340_FR30_1,B68,B3,FR30,No,C2,5:24,5:44,0:20:00,20,B68_FR30_340
B68_B3_60623_340_FR30_1,B68,B3,FR30,No,C2,5:47,6:05,0:18:00,18,B68_FR30_340
B68_B3_60623_340_FR30_1,B68,B3,FR30,No,C2,6:11,6:37,0:26:00,26,B68_FR30_340
B68_B3_60623_340_FR30_1,B68,B3,FR30,No,C2,6:43,6:58,0:15:00,15,B68_FR30_340
B68_B3_60623_340_FR30_1,B68,B3,FR30,No,C2,7:04,7:18,0:14:00,14,B68_FR30_340
B68_B3_60623_340_FR30_1,B68,B3,FR30,No,C2,7:29,7:33,0:04:00,4,B68_FR30_340
B68_B3_60623_340_FR30_1,B68,B3,FR30,No,C2,7:38,7:44,0:06:00,6,B68_FR30_340
B68_B3_60623_340_FR30_1,B68,B3,FR30,No,C2,8:31,8:37,0:06:00,6,B68_FR30_340
B19_B3_60723_208_FR30_1,B19,B3,FR30,No,C1,4:06,4:44,0:38:00,38,B19_FR30_208*
B19_B3_60723_208_FR30_1,B19,B3,FR30,No,B1,8:03,,,0,B19_FR30_208 lightbar blocking view
B19_B3_60723_208_FR30_1,B19,B3,FR30,No,B1,8:37,,,0,B19_FR30_208
B19_B3_60723_208_FR30_1,B19,B3,FR30,No,B1,9:13,,,0,B19_FR30_208
B19_B3_60723_208_FR30_1,B19,B3,FR30,No,B1,9:42,,,0,B19_FR30_208
B19_B3_60723_208_FR30_1,B19,B3,FR30,No,B1,10:05,,,0,B19_FR30_208
B19_B3_60723_208_FR30_1,B19,B3,FR30,No,B1,10:32,,,0,B19_FR30_208
B19_B3_60723_208_FR30_1,B19,B3,FR30,No,B1,10:52,,,0,B19_FR30_208
B19_B3_60723_208_FR30_1,B19,B3,FR30,No,B1,11:14,,,0,B19_FR30_208
B19_B3_60723_208_FR30_1,B19,B3,FR30,No,B1,11:37,,,0,B19_FR30_208
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,C4,1:06,1:24,0:18:00,18,B72_FR30_945*
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,C4,1:30,1:51,0:21:00,21,B72_FR30_945
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,C4,2:19,2:39,0:20:00,20,B72_FR30_945
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,A3,5:30,5:43,0:13:00,13,B72_FR30_945
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,A3,5:49,5:57,0:08:00,8,B72_FR30_945
B72_B3_60823_945_FR30_1,B72,B3,FR30,No,A3,6:03,6:18,0:15:00,15,B72_FR30_945
